DEPARTAMENTO;PROVINCIA;DISTRITO;UBIGEO;TIPO;FECHA_SOLICITUD;RAZON_SOCIAL;NUMERO_RESOLUCION;FECHA_EMISION;FECHA_VENCIMIENTO;PLACA;ANO_FABRICACION;PESO_BRUTO;NUMERO_TUC_MTC;TIPO_CARGA;FECHA_CORTE
LIMA;LIMA;LIMA;150101;PERSONA JURIDICA;20250815;TRANSPORTES Y SERVICIOS KOKY E.I.R.L.;2883-2025;20250820;20271122;BYN720;2024;14.3;15M24012028E;CARGA GENERAL Y CARGA DE PRODUCTOS PELIGROSOS;20250930
LIMA;LIMA;LIMA;150101;PERSONA JURIDICA;20250815;TRANSPORTES Y SERVICIOS KOKY E.I.R.L.;2883-2025;20250820;20271122;X4N713;2018;25;15M25043095E;CARGA GENERAL;20250930
LIMA;LIMA;LIMA;150101;PERSONA JURIDICA;20250815;TRANSPORTES Y SERVICIOS KOKY E.I.R.L.;2883-2025;20250820;20271122;AEQ712;2013;5.1;15M23043859E;CARGA GENERAL Y CARGA DE PRODUCTOS PELIGROSOS;20250930
LIMA;LIMA;LIMA;150101;PERSONA JURIDICA;20250815;TRANSPORTES Y SERVICIOS KOKY E.I.R.L.;2883-2025;20250820;20271122;D2J851;2006;8.75;15M22056226E;CARGA GENERAL Y CARGA DE PRODUCTOS PELIGROSOS;20250930
LIMA;LIMA;LIMA;150101;PERSONA JURIDICA;20250815;TRANSPORTES Y SERVICIOS KOKY E.I.R.L.;2883-2025;20250820;20271122;C4U864;2011;4.5;15M23035169E;CARGA GENERAL Y CARGA DE PRODUCTOS PELIGROSOS;20250930
LIMA;LIMA;LIMA;150101;PERSONA JURIDICA;20250815;TRANSPORTES Y SERVICIOS KOKY E.I.R.L.;2883-2025;20250820;20271122;BFE786;2020;6;15M25037959E;CARGA GENERAL;20250930
LIMA;LIMA;LIMA;150101;PERSONA JURIDICA;20250815;TRANSPORTES Y SERVICIOS KOKY E.I.R.L.;2883-2025;20250820;20271122;AVZ933;2018;2.21;15M25028813E;CARGA GENERAL;20250930
LIMA;LIMA;LIMA;150101;PERSONA JURIDICA;20250818;TRANSPORTES KAROL S.A.C.;2884-2025;20250820;20300214;CEW782;2026;7.5;15M25043541E;CARGA GENERAL;20250930
LIMA;LIMA;LIMA;150101;PERSONA JURIDICA;20250819;CORPORACION INDUSTRIAL PAEZ S.A.C. - INCORPAEZ S.A.C.;2911-2025;20250821;20290725;BML762;2022;22.295;15M22008192E;CARGA GENERAL Y CARGA DE PRODUCTOS PELIGROSOS;20250930
LIMA;LIMA;LIMA;150101;PERSONA JURIDICA;20250819;CORPORACION INDUSTRIAL PAEZ S.A.C. - INCORPAEZ S.A.C.;2911-2025;20250821;20290725;CDR749;2026;13.27;15M25027472E;CARGA GENERAL Y CARGA DE PRODUCTOS PELIGROSOS;20250930
LIMA;LIMA;LIMA;150101;PERSONA JURIDICA;20250820;MELODY E.I.R.L.;2924-2025;20250822;20300822;�F2R873;�2013;5.4;�251600089;CARGA GENERAL;20250930
LIMA;LIMA;LIMA;150101;PERSONA JURIDICA;20250820;MELODY E.I.R.L.;2924-2025;20250822;20300822;�BJB712;2021;7.3;�25M25000026E;CARGA GENERAL;20250930
LIMA;LIMA;LIMA;150101;PERSONA JURIDICA;20250820;MELODY E.I.R.L.;2924-2025;20250822;20300822;�BHV908;2021;7.3;�252100025;CARGA GENERAL;20250930
